Type,Resistive Attack,DiffAttack
hover,-0.17114502,-0.28318417
hover,-0.012677431,-0.04386358
hover,-0.006338716,-0.04907529
hover,-0.1521289,-0.2988193
hover,-0.04437095,-0.109053336
hover,-0.3739836,-0.710101
hover,-0.006338716,-0.007493734
hover,-0.019016117,-0.042116985
hover,-0.038032234,-0.14314112
hover,-0.03169352,-0.08829061
hover,-0.012677431,-0.124716565
hover,-0.03169352,-0.13102718
hover,-0.12677407,-0.40629438
hover,-0.025354832,-0.05769603
hover,-0.050709635,-0.12347731
hover,-0.019016117,-0.038651854
hover,-0.025354832,-0.058851063
hover,-0.03169352,-0.1368024
hover,-0.06972575,-0.17021446
hover,-0.025354818,-0.044990547
hover,-0.08240318,-0.15286079
hover,-0.038032234,-0.0669083
hover,-0.025354803,-0.14085905
hover,-0.025354818,-0.038060285
hover,-0.019016117,-0.04096192
hover,-0.019016117,-0.04327201
hover,-0.038032226,-0.08538897
hover,-0.019016147,-0.05944264
hover,-0.012677372,-0.017297536
hover,-0.006338716,-0.0329047
hover,-0.006338716,-0.022509307
hover,-0.006338716,-0.03059461
hover,-0.006338716,-0.01095888
hover,-0.006338716,-0.032904696
hover,-0.006338716,-0.03405974
hover,-0.006338716,-0.025974441
hover,-0.006338716,-0.044455122
hover,-0.4120158,-0.7342727
hover,-0.006338708,-0.009803839
hover,-0.031693526,-0.07674019
hover,-0.13311279,-0.21396577
hover,-0.044370927,-0.10096801
hover,-0.012677416,-0.05194886
hover,-0.006338716,-0.05023033
hover,-0.012677401,-0.07851483
hover,-0.012677416,-0.04270853
hover,-0.13311279,-0.247462
hover,-0.006338708,-0.007493757
hover,-0.006338708,-0.00864879
hover,-0.05704832,-0.08130422
hover,-0.06972569,-0.07896604
hover,-0.107758045,-0.27292913
hover,-0.38032222,-0.6794783
hover,-0.06972575,-0.29380405
hover,-0.03169352,-0.1460427
hover,-0.36130613,-0.6928034
hover,-0.2852417,-0.5254905
hover,-0.05704832,-0.25802577
hover,-0.42469323,-1.1177187
hover,-0.17748374,-0.47894984
hover,-0.08240318,-0.38040417
hover,-0.06338704,-0.43993095
hover,-0.025354803,-0.066936344
hover,-0.038032234,-0.25864536
hover,-0.05704832,-0.2002736
hover,-0.05704838,-0.15753704
hover,-0.025354862,-0.06809145
hover,-0.038032234,-0.16393188
hover,-0.038032234,-0.19280796
hover,-0.38032228,-0.7383856
hover,-0.49441895,-1.0453743
hover,-0.71627355,-1.3041902
hover,-0.5641447,-0.9279831
hover,-0.62119305,-1.1016908
hover,-0.86840254,-1.9645379
hover,-1.4325472,-2.0816813
hover,-0.773322,-1.6707901
hover,-0.2725643,-0.47931695
hover,-1.825547,-2.7091546
hover,-0.006338716,-0.038679913
hover,-0.012677431,-0.11663127
hover,-0.019016087,-0.16801658
hover,-0.006338716,-0.051385388
hover,-0.006338716,-0.09412195
hover,-0.012677431,-0.08429006
hover,-0.006338716,-0.03752485
hover,-0.012677431,-0.09699553
hover,-0.006338716,-0.03636983
hover,-0.04437095,-0.18759625
hover,-0.07606447,-0.29205745
hover,-0.019016147,-0.084853575
hover,-0.025354862,-0.085417084
hover,-0.03169352,-0.14373265
hover,-0.050709665,-0.19509
hover,-0.03169352,-0.064034715
hover,-0.038032234,-0.17086214
hover,-0.038032234,-0.11542009
hover,-0.050709665,-0.09922147
hover,-0.06338704,-0.49537298
hover,-0.025354803,-0.16164982
hover,-0.34862876,-0.9550261
hover,-0.20283855,-0.49044418
hover,-0.025354832,-0.1708902
hover,-0.08240315,-0.20945784
hover,-0.031693548,-0.20957011
hover,-0.019016117,-0.20382294
hover,-0.12043539,-0.26019555
hover,-0.39299968,-0.73489225
hover,-0.019016117,-0.18996242
hover,-0.13945147,-0.73198843
hover,-0.07606444,-0.35096458
hover,-0.08240318,-0.30417138
hover,-0.06338704,-0.2816901
hover,-0.06338704,-0.35099262
hover,-0.05704835,-0.28112662
hover,-0.06972577,-0.24413721
hover,-0.07606445,-0.40294158
hover,-0.05070965,-0.23898159
hover,-0.063387066,-0.33944225
hover,-0.5070964,-2.7906156
hover,-0.025354818,-0.7923031
hover,-0.012677416,-0.2159649
hover,-0.006338716,-0.107982464
hover,-0.19649984,-0.83639336
hover,-0.08874187,-0.4941618
